"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","64.084","64.429","64.747","65.053","65.356","65.66","65.959","66.242","66.503","66.745","66.972","67.19","67.405","67.626","67.857","68.11","68.394","68.706","69.041","69.387","69.726","70.036","70.301","70.51","70.66","70.757","70.814","70.851","70.886","70.924","70.969","71.018","71.062","71.098","71.126","71.148","71.168","71.19","71.219","71.259","71.312","71.382","71.469","71.572","71.688","71.816","71.952","72.093","72.235","72.377","72.517","72.654","72.792","72.93","73.069","73.208","73.348","73.488","73.628","","",
"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","31.718","32.224","32.724","33.216","33.7","34.18","34.656","35.133","35.615","36.106","36.607","37.12","37.644","38.18","38.729","39.293","39.874","40.473","41.09","41.723","42.372","43.037","43.715","44.403","45.097","45.796","46.499","47.204","47.906","48.601","49.281","49.938","50.57","51.172","51.746","52.287","52.798","53.285","53.753","54.21","54.663","55.119","55.583","56.056","56.542","57.044","57.562","58.092","58.626","59.159","59.683","60.19","60.675","61.133","61.563","61.965","62.343","62.701","63.047","","",
"Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","36.305","36.582","36.874","37.181","37.501","37.833","38.177","38.532","38.894","39.26","39.627","39.994","40.359","40.716","41.063","41.394","41.703","41.99","42.254","42.492","42.708","42.906","43.09","43.259","43.414","43.544","43.64","43.696","43.711","43.692","43.642","43.568","43.487","43.416","43.374","43.378","43.442","43.574","43.781","44.074","44.466","44.966","45.567","46.261","47.038","47.893","48.821","49.807","50.826","51.85","52.848","53.79","54.66","55.447","56.14","56.737","57.242","57.677","58.064","","",
"Albania","ALB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","61.309","62.272","63.117","63.811","64.346","64.723","64.962","65.116","65.233","65.346","65.496","65.714","66.004","66.356","66.762","67.19","67.596","67.943","68.204","68.376","68.475","68.533","68.59","68.673","68.788","68.92","69.04","69.12","69.145","69.122","69.07","69.017","68.997","69.037","69.15","69.347","69.631","69.982","70.376","70.797","71.216","71.606","71.951","72.246","72.493","72.708","72.919","73.156","73.438","73.769","74.145","74.552","74.966","75.364","75.734","76.066","76.353","76.601","76.816","","",
"Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","45.5047390580351","46.1017260801338","46.6891238066649","47.269806293165","47.844576026304","48.4113703363118","48.9636293357952","49.4999416810262","50.0231748853345","50.5405227922525","51.0649842278079","51.6134809808307","52.1932107033112","52.8010924358605","53.425357913691","54.0461815875042","54.6402150913409","55.1938842880129","55.7081681021652","56.1976785522822","56.688942768824","57.2117638000252","57.7849980296321","58.4128557239398","59.082811535214","59.7687065038458","60.4393450374456","61.0659539400042","61.6273800391103","62.118808122074","62.5829486334967","62.9648821393057","63.2471749873746","63.6113854632683","63.9761026409413","64.3960153918966","64.7535641569462","65.0990782093648","65.4254183596378","65.7336574755568","66.0262586806167","66.3086859063152","66.5853514999294","66.8627542138194","67.1442151919117","67.4270634779716","67.7057803604815","67.971393899225","68.2141728962966","68.4288000117575","68.618951030473","68.794639927989","68.9687955462383","69.1495269358148","69.3366068822353","69.5289737116429","69.7246665339846","69.9212501372685","70.1159947002541","","",
"United Arab Emirates","ARE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","49.249","50.363","51.462","52.541","53.597","54.631","55.648","56.656","57.654","58.639","59.606","60.546","61.452","62.315","63.132","63.899","64.617","65.289","65.921","66.515","67.071","67.589","68.072","68.522","68.943","69.337","69.707","70.055","70.384","70.698","70.999","71.289","71.567","71.834","72.093","72.345","72.59","72.829","73.062","73.291","73.516","73.738","73.957","74.174","74.388","74.601","74.811","75.018","75.223","75.424","75.624","75.823","76.022","76.219","76.414","76.605","76.79","76.966","77.133","","",
"Argentina","ARG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.417","62.46","62.478","62.487","62.503","62.542","62.619","62.739","62.901","63.106","63.349","63.622","63.909","64.198","64.484","64.766","65.045","65.326","65.611","65.897","66.173","66.431","66.664","66.871","67.053","67.219","67.379","67.545","67.726","67.924","68.138","68.361","68.586","68.804","69.014","69.212","69.402","69.586","69.768","69.948","70.128","70.307","70.484","70.661","70.835","71.008","71.179","71.347","71.513","71.676","71.837","71.995","72.151","72.306","72.46","72.614","72.768","72.924","73.082","","",
"Armenia","ARM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","62.822","63.24","63.664","64.092","64.522","64.953","65.384","65.81","66.22","66.602","66.935","67.198","67.381","67.486","67.52","67.509","67.486","67.479","67.502","67.552","67.606","67.626","67.576","67.436","67.203","66.88","66.476","66.03","65.586","65.18","64.86","64.67","64.627","64.732","64.983","65.37","65.868","66.433","67.015","67.579","68.086","68.501","68.824","69.06","69.214","69.312","69.386","69.475","69.602","69.776","69.989","70.222","70.446","70.639","70.797","70.921","71.022","71.115","71.215","","",
"American Samoa","ASM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
