"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","38","60025","32131","19134","19605","18779","5","","","","10","","24","31","31","34","43","37","36","6434","3011","16184","16861","300421","257553","59770","75927","72228","72227","",
"Angola","AGO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","10000","235000","141550","66000","75000","91700","96280","96280","92260","91520","92250","91210","90350","12899","11557","11022","11002","10873","10684","10878","9379","9361","10603","13068","12086","12245","12249","13375","13963","13978","13086","12064","12704","14722","15142","16212","23401","23771","15468","15547","15547","41119","39856","25793","",
"Albania","ALB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","3000","3000","4721","4927","34","22334","3932","521","291","18","24","49","53","56","68","57","69","75","79","84","96","111","109","141","124","132","120","",
"Andorra","AND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4279547","3825329","4005764","4230180","4423480","4410387","4219795","4243118","4373377","4487615","4639911","4942589","5110716","4932910","5037899","5106891","6444699","7513410","7206299","6955019","6801882","6657583","6638843","7794716","8374964","8279319","8440081","9061054","9332914","9349349","",
"United Arab Emirates","ARE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","300","300","","870","870","3200","1200","","4000","390","390","590","2490","6090","3690","4090","5170","26350","","","","70","","","","434","380","409","464","519","532","501","560","554","165","160","106","104","176","161","204","280","538","675","628","602","419","663","888","884","1167","1242","",
"Argentina","ARG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","32000","35000","34000","33000","37000","47000","46000","41010","35000","26390","27050","26460","26500","11500","11500","11500","14000","14000","13580","13578","12634","11735","11529","11515","11623","11903","10314","10430","10522","2259","2335","2383","2384","2428","2631","2898","3051","3132","3247","2824","3209","3257","3341","3468","3340","3473","3187","3267","3332","3442","3857","",
"Armenia","ARM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","334000","304040","218950","218950","219000","310012","296215","280586","264337","247549","239289","235233","219547","113713","4564","3952","3605","3292","2913","2849","13727","17635","19314","17883","17968","17966","17980","",
"American Samoa","ASM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","5","","","","",
"Australia","AUS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","40000","40000","44000","43000","42000","42000","","","","","","","","304000","304000","304000","317000","317000","317000","89000","89000","85900","87600","90970","97915","97915","53117","52604","53505","57575","62145","67298","66056","69714","64879","60219","57885","59422","56242","63478","64955","68942","22161","20915","22543","21790","23423","30061","34485","35565","36917","42187","48480","56934","76768","",
