country,iso,region,score,rank,interval,value
Afghanistan,AFG,AP,1.5,180,0.1,15
Albania,ALB,ECA,3.1,95,0.18,31
Algeria,DZA,MENA,2.9,112,0.16,29
Angola,AGO,SSA,2,168,0.1,20
Argentina,ARG,AME,3,100,0.21,30
Armenia,ARM,ECA,2.6,129,0.16,26
Australia,AUS,AP,8.8,8,0.12,88
Austria,AUT,WE/EU,7.8,16,0.24,78
Azerbaijan,AZE,ECA,2.4,143,0.19,24
Bahamas,BHS,AME,7.3,21,0.11,73
Bahrain,BHR,MENA,5.1,46,0.67,51
Bangladesh,BGD,AP,2.7,120,0.34,27
Barbados,BRB,AME,7.8,16,0.4,78
Belarus,BLR,ECA,2.4,143,0.1,24
Belgium,BEL,WE/EU,7.5,19,0.21,75
Benin,BEN,SSA,3,100,0.18,30
Bhutan,BTN,AP,5.7,38,0.28,57
Bolivia,BOL,AME,2.8,118,0.18,28
Bosnia and Herzegovina,BIH,ECA,3.2,91,0.12,32
Botswana,BWA,SSA,6.1,32,0.19,61
Brazil,BRA,AME,3.8,73,0.24,38
Brunei,BRN,AP,5.2,44,0.59,52
Bulgaria,BGR,WE/EU,3.3,86,0.27,33
Burkina Faso,BFA,SSA,3,100,0.31,30
Burundi,BDI,SSA,1.9,172,0.14,19
Cambodia,KHM,AP,2.1,164,0.15,21
Cameroon,CMR,SSA,2.5,134,0.19,25
Canada,CAN,AME,8.7,10,0.15,87
Cape Verde,CPV,SSA,5.5,41,0.29,55
Central African Republic,CAF,SSA,2.2,154,0.05,22
Chad,TCD,SSA,2,168,0.05,20
Chile,CHL,AME,7.2,22,0.21,72
China,CHN,AP,3.6,75,0.26,36
Colombia,COL,AME,3.4,80,0.29,34
Comoros,COM,SSA,2.4,143,0.37,24
Congo Republic,COG,SSA,2.2,154,0.1,22
Costa Rica,CRI,AME,4.8,50,0.59,48
Côte d´Ivoire,CIV,SSA,2.2,154,0.15,22
Croatia,HRV,WE/EU,4,66,0.21,40
Cuba,CUB,AME,4.2,61,0.49,42
Cyprus,CYP,WE/EU,6.3,30,0.37,63
Czech Republic,CZE,WE/EU,4.4,57,0.29,44
