country,ISO3,Region,CPI score 2019,CPI score 2018,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Afghanistan,AFG,AP,16,16,15,15,11,12,8,8
Albania,ALB,ECA,35,36,38,39,36,33,31,33
Algeria,DZA,MENA,35,35,33,34,36,36,36,34
Angola,AGO,SSA,26,19,19,18,15,19,23,22
Argentina,ARG,AME,45,40,39,36,32,34,34,35
Armenia,ARM,ECA,42,35,35,33,35,37,36,34
Australia,AUS,AP,77,77,77,79,79,80,81,85
Austria,AUT,WE/EU,77,76,75,75,76,72,69,69
Azerbaijan,AZE,ECA,30,25,31,30,29,29,28,27
Bahamas,BHS,AME,64,65,65,66,,71,71,71
Bahrain,BHR,MENA,42,36,36,43,51,49,48,51
Bangladesh,BGD,AP,26,26,28,26,25,25,27,26
Barbados,BRB,AME,62,68,68,61,,74,75,76
Belarus,BLR,ECA,45,44,44,40,32,31,29,31
Belgium,BEL,WE/EU,75,75,75,77,77,76,75,75
Benin,BEN,SSA,41,40,39,36,37,39,36,36
Bhutan,BTN,AP,68,68,67,65,65,65,63,63
Bolivia,BOL,AME,31,29,33,33,34,35,34,34
Bosnia and Herzegovina,BIH,ECA,36,38,38,39,38,39,42,42
Botswana,BWA,SSA,61,61,61,60,63,63,64,65
Brazil,BRA,AME,35,35,37,40,38,43,42,43
Brunei Darussalam,BRN,AP,60,63,62,58,,,60,55
Bulgaria,BGR,WE/EU,43,42,43,41,41,43,41,41
Burkina Faso,BFA,SSA,40,41,42,42,38,38,38,38
Burundi,BDI,SSA,19,17,22,20,21,20,21,19
Cabo Verde,CPV,SSA,58,57,55,59,55,57,58,60
Cambodia,KHM,AP,20,20,21,21,21,21,20,22
Cameroon,CMR,SSA,25,25,25,26,27,27,25,26
Canada,CAN,AME,77,81,82,82,83,81,81,84
Central African Republic,CAF,SSA,25,26,23,20,24,24,25,26
Chad,TCD,SSA,20,19,20,20,22,22,19,19
Chile,CHL,AME,67,67,67,66,70,73,71,72
China,CHN,AP,41,39,41,40,37,36,40,39
Colombia,COL,AME,37,36,37,37,37,37,36,36
Comoros,COM,SSA,25,27,27,24,26,26,28,28
Congo,COG,SSA,19,19,21,20,23,23,22,26
Costa Rica,CRI,AME,56,56,59,58,55,54,53,54
Cote d'Ivoire,CIV,SSA,35,35,36,34,32,32,27,29
Croatia,HRV,WE/EU,47,48,49,49,51,48,48,46
Cuba,CUB,AME,48,47,47,47,47,46,46,48
Cyprus,CYP,WE/EU,58,59,57,55,61,63,63,66
Czech Republic,CZE,WE/EU,56,59,57,55,56,51,48,49
Democratic Republic of the Congo,COD,SSA,18,20,21,21,22,22,22,21
Denmark,DNK,WE/EU,87,88,88,90,91,92,91,90
Djibouti,DJI,SSA,30,31,31,30,34,34,36,36
Dominica,DMA,AME,55,57,57,59,,58,58,58
Dominican Republic,DOM,AME,28,30,29,31,33,32,29,32
Ecuador,ECU,AME,38,34,32,31,32,33,35,32
Egypt,EGY,MENA,35,35,32,34,36,37,32,32
El Salvador,SLV,AME,34,35,33,36,39,39,38,38
Equatorial Guinea,GNQ,SSA,16,16,17,,,,19,20
Eritrea,ERI,SSA,23,24,20,18,18,18,20,25
Estonia,EST,WE/EU,74,73,71,70,70,69,68,64
Eswatini,SWZ,SSA,34,38,39,,,43,39,37
Ethiopia,ETH,SSA,37,34,35,34,33,33,33,33
Finland,FIN,WE/EU,86,85,85,89,90,89,89,90
France,FRA,WE/EU,69,72,70,69,70,69,71,71
Gabon,GAB,SSA,31,31,32,35,34,37,34,35
Gambia,GMB,SSA,37,37,30,26,28,29,28,34
Georgia,GEO,ECA,56,58,56,57,52,52,49,52
Germany,DEU,WE/EU,80,80,81,81,81,79,78,79
Ghana,GHA,SSA,41,41,40,43,47,48,46,45
Greece,GRC,WE/EU,48,45,48,44,46,43,40,36
Grenada,GRD,AME,53,52,52,56,,,,
Guatemala,GTM,AME,26,27,28,28,28,32,29,33
Guinea,GIN,SSA,29,28,27,27,25,25,24,24
Guinea Bissau,GNB,SSA,18,16,17,16,17,19,19,25
Guyana,GUY,AME,40,37,38,34,29,30,27,28
Haiti,HTI,AME,18,20,22,20,17,19,19,19
Honduras,HND,AME,26,29,29,30,31,29,26,28
Hong Kong,HKG,AP,76,76,77,77,75,74,75,77
Hungary,HUN,WE/EU,44,46,45,48,51,54,54,55
