,country,ISO3,Region,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0,Afghanistan,AFG,AP,16,16,15,15.0,11.0,12.0,8.0,8.0,15.0,14.0,13.0,15.0,18.0,,25.0,,,,,
1,Albania,ALB,ECA,35,36,38,39.0,36.0,33.0,31.0,33.0,31.0,33.0,32.0,34.0,29.0,26.0,24.0,25.0,25.0,25.0,,
2,Algeria,DZA,MENA,35,35,33,34.0,36.0,36.0,36.0,34.0,29.0,29.0,28.0,32.0,30.0,31.0,28.0,27.0,26.0,,,
3,Angola,AGO,SSA,26,19,19,18.0,15.0,19.0,23.0,22.0,20.0,19.0,19.0,19.0,22.0,22.0,20.0,20.0,18.0,17.0,,17.0
4,Argentina,ARG,AME,45,40,39,36.0,32.0,34.0,34.0,35.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,25.0,25.0,28.0,35.0,35.0
5,Armenia,ARM,ECA,42,35,35,33.0,35.0,37.0,36.0,34.0,26.0,26.0,27.0,29.0,30.0,29.0,29.0,31.0,30.0,,,25.0
6,Austria,AUT,WE/EU,77,76,75,75.0,76.0,72.0,69.0,69.0,78.0,79.0,79.0,81.0,81.0,86.0,87.0,84.0,80.0,78.0,78.0,77.0
7,Azerbaijan,AZE,ECA,30,25,31,30.0,29.0,29.0,28.0,27.0,24.0,24.0,23.0,19.0,21.0,24.0,22.0,19.0,18.0,20.0,20.0,15.0
8,Bahrain,BHR,MENA,42,36,36,43.0,51.0,49.0,48.0,51.0,51.0,49.0,51.0,54.0,50.0,57.0,58.0,58.0,61.0,,,
9,Bangladesh,BGD,AP,26,26,28,26.0,25.0,25.0,27.0,26.0,27.0,24.0,24.0,21.0,20.0,20.0,17.0,15.0,13.0,12.0,4.0,
10,Belarus,BLR,ECA,45,44,44,40.0,32.0,31.0,29.0,31.0,24.0,25.0,24.0,20.0,21.0,21.0,26.0,33.0,42.0,48.0,,41.0
11,Belgium,BEL,WE/EU,75,75,75,77.0,77.0,76.0,75.0,75.0,75.0,71.0,71.0,73.0,71.0,73.0,74.0,75.0,76.0,71.0,66.0,61.0
12,Benin,BEN,SSA,41,40,39,36.0,37.0,39.0,36.0,36.0,30.0,28.0,29.0,31.0,27.0,25.0,29.0,32.0,,,,
13,Bhutan,BTN,AP,68,68,67,65.0,65.0,65.0,63.0,63.0,57.0,57.0,50.0,52.0,50.0,60.0,,,,,,
14,Bolivia,BOL,AME,31,29,33,33.0,34.0,35.0,34.0,34.0,28.0,28.0,27.0,30.0,29.0,27.0,25.0,22.0,23.0,22.0,20.0,27.0
15,Bosnia and Herzegovina,BIH,ECA,36,38,38,39.0,38.0,39.0,42.0,42.0,32.0,32.0,30.0,32.0,33.0,29.0,29.0,31.0,,,,
16,Botswana,BWA,SSA,61,61,61,60.0,63.0,63.0,64.0,65.0,61.0,58.0,56.0,58.0,54.0,56.0,59.0,60.0,57.0,64.0,60.0,60.0
17,Brazil,BRA,AME,35,35,37,40.0,38.0,43.0,42.0,43.0,38.0,37.0,37.0,35.0,35.0,33.0,37.0,39.0,39.0,40.0,40.0,39.0
18,Bulgaria,BGR,WE/EU,43,42,43,41.0,41.0,43.0,41.0,41.0,33.0,36.0,38.0,36.0,41.0,40.0,40.0,41.0,39.0,40.0,39.0,35.0
19,Burkina Faso,BFA,SSA,40,41,42,42.0,38.0,38.0,38.0,38.0,30.0,31.0,36.0,35.0,29.0,32.0,34.0,,,,,30.0
20,Burundi,BDI,SSA,19,17,22,20.0,21.0,20.0,21.0,19.0,19.0,18.0,18.0,19.0,25.0,24.0,23.0,,,,,
21,Cambodia,KHM,AP,20,20,21,21.0,21.0,21.0,20.0,22.0,21.0,21.0,20.0,18.0,20.0,21.0,23.0,,,,,
22,Cameroon,CMR,SSA,25,25,25,26.0,27.0,27.0,25.0,26.0,25.0,22.0,22.0,23.0,24.0,23.0,22.0,21.0,18.0,22.0,20.0,20.0
23,Canada,CAN,AME,77,81,82,82.0,83.0,81.0,81.0,84.0,87.0,89.0,87.0,87.0,87.0,85.0,84.0,85.0,87.0,90.0,89.0,92.0
24,Cape Verde,CPV,SSA,58,57,55,59.0,55.0,57.0,58.0,60.0,,,,51.0,,,,,,,,
25,Central African Republic,CAF,SSA,25,26,23,20.0,24.0,24.0,25.0,26.0,22.0,21.0,20.0,20.0,20.0,24.0,,,,,,
26,Chad,TCD,SSA,20,19,20,20.0,22.0,22.0,19.0,19.0,20.0,17.0,16.0,16.0,18.0,20.0,17.0,17.0,,,,
27,Chile,CHL,AME,67,67,67,66.0,70.0,73.0,71.0,72.0,72.0,72.0,67.0,69.0,70.0,73.0,73.0,74.0,74.0,75.0,75.0,74.0
28,China,CHN,AP,41,39,41,40.0,37.0,36.0,40.0,39.0,36.0,35.0,36.0,36.0,35.0,33.0,32.0,34.0,34.0,35.0,35.0,31.0
29,Colombia,COL,AME,37,36,37,37.0,37.0,37.0,36.0,36.0,34.0,35.0,37.0,38.0,38.0,39.0,40.0,38.0,37.0,36.0,38.0,32.0
30,Comoros,COM,SSA,25,27,27,24.0,26.0,26.0,28.0,28.0,24.0,21.0,23.0,25.0,26.0,,,,,,,
31,"Congo, Dem. Rep.",COD,SSA,18,20,21,21.0,22.0,22.0,22.0,21.0,20.0,,,17.0,,,,,,,,
32,"Congo, Rep.",COG,SSA,19,19,21,20.0,23.0,23.0,22.0,26.0,,,,19.0,,,,,,,,
33,Costa Rica,CRI,AME,56,56,59,58.0,55.0,54.0,53.0,54.0,48.0,53.0,53.0,51.0,50.0,41.0,42.0,49.0,43.0,45.0,45.0,54.0
34,Croatia,HRV,WE/EU,47,48,49,49.0,51.0,48.0,48.0,46.0,40.0,41.0,41.0,44.0,41.0,34.0,34.0,35.0,37.0,38.0,39.0,37.0
35,Cuba,CUB,AME,48,47,47,47.0,47.0,46.0,46.0,48.0,42.0,37.0,44.0,43.0,42.0,35.0,38.0,37.0,46.0,,,
36,Cyprus,CYP,WE/EU,58,59,57,55.0,61.0,63.0,63.0,66.0,63.0,63.0,66.0,64.0,53.0,56.0,57.0,54.0,61.0,,,
37,Czech Republic,CZE,WE/EU,56,59,57,55.0,56.0,51.0,48.0,49.0,44.0,46.0,49.0,52.0,,48.0,43.0,42.0,39.0,37.0,39.0,43.0
38,Denmark,DNK,WE/EU,87,88,88,90.0,91.0,92.0,91.0,90.0,94.0,93.0,93.0,93.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,98.0
39,Djibouti,DJI,SSA,30,31,31,30.0,34.0,34.0,36.0,36.0,30.0,32.0,28.0,30.0,29.0,,,,,,,
40,Dominican Republic,DOM,AME,28,30,29,31.0,33.0,32.0,29.0,32.0,26.0,30.0,30.0,30.0,30.0,28.0,30.0,29.0,33.0,,,
