country,iso,region,score,rank,interval
Albania,ALB,ECA,2.5,81,1.7 - 3.3
Angola,AGO,SSA,1.7,98,1.6 - 2.0
Argentina,ARG,AME,2.8,70,1.7 - 3.8
Australia,AUS,AP,8.6,11,6.1 - 9.3
Austria,AUT,WE/EU,7.8,15,7.2 - 8.7
Azerbaijan,AZE,ECA,2,95,1.7 - 2.4
Bangladesh,BGD,AP,1.2,102,0.3 - 2.0
Belarus,BLR,ECA,4.8,36,3.3 - 5.8
Belgium,BEL,WE/EU,7.1,20,5.5 - 8.7
Bolivia,BOL,AME,2.2,89,1.7 - 2.9
Botswana,BWA,SSA,6.4,24,5.3 - 8.9
Brazil,BRA,AME,4,45,3.4 - 4.8
Bulgaria,BGR,WE/EU,4,45,3.3 - 5.7
Cameroon,CMR,SSA,2.2,89,1.7 - 3.2
Canada,CAN,AME,9,7,8.7 - 9.3
Chile,CHL,AME,7.5,17,5.6 - 8.8
China,CHN,AP,3.5,59,2.0 - 5.6
Colombia,COL,AME,3.6,57,2.6 - 4.6
Costa Rica,CRI,AME,4.5,40,3.6 - 5.9
Cote d'Ivoire,CIV,SSA,2.7,71,2.0 - 3.4
Croatia,HRV,WE/EU,3.8,51,3.6 - 4.0
Czech Republic,CZE,WE/EU,3.7,52,2.6 - 5.5
Denmark,DNK,WE/EU,9.5,2,8.9 - 9.9
Dominican Rep.,DOM,AME,3.5,59,3.0 - 3.9
Ecuador,ECU,AME,2.2,89,1.7 - 2.6
Egypt,EGY,MENA,3.4,62,1.7 - 5.3
El Salvador,SLV,AME,3.4,62,2.0 - 4.2
Estonia,EST,WE/EU,5.6,29,5.2 - 6.6
Ethiopia,ETH,SSA,3.5,59,3.0 - 4.0
Finland,FIN,WE/EU,9.7,1,8.9 - 10.0
France,FRA,WE/EU,6.3,25,4.8 - 7.8
Georgia,GEO,ECA,2.4,85,1.7 - 2.9
Germany,DEU,WE/EU,7.3,18,5.0 - 8.1
Ghana,GHA,SSA,3.9,50,2.7 - 5.9
Greece,GRC,WE/EU,4.2,44,3.7 - 5.5
Guatemala,GTM,AME,2.5,81,1.7 - 3.5
Haiti,HTI,AME,2.2,89,0.8 - 4.0
Honduras,HND,AME,2.7,71,2.0 - 3.4
Hong Kong,HKG,AP,8.2,14,6.6 - 9.4
Hungary,HUN,WE/EU,4.9,33,4.0 - 5.6
Iceland,ISL,WE/EU,9.4,4,8.8 - 10.0
India,IND,AP,2.7,71,2.4 - 3.6
Indonesia,IDN,AP,1.9,96,0.8 - 3.0
Ireland,IRL,WE/EU,6.9,23,5.5 - 8.1
Israel,ISR,MENA,7.3,18,5.2 - 8.0
Italy,ITA,WE/EU,5.2,31,3.4 - 7.2
Jamaica,JAM,AME,4,45,3.6 - 4.3
Japan,JPN,AP,7.1,20,5.5 - 7.9
Jordan,JOR,MENA,4.5,40,3.6 - 5.2
Kazakhstan,KAZ,ECA,2.3,88,1.7 - 3.9
Kenya,KEN,SSA,1.9,96,1.7 - 2.5
Latvia,LVA,WE/EU,3.7,52,3.5 - 3.9
Lithuania,LTU,WE/EU,4.8,36,3.4 - 7.6
Luxembourg,LUX,WE/EU,9,7,8.5 - 9.9
Madagascar,MDG,SSA,1.7,98,1.3 - 2.5
Malawi,MWI,SSA,2.9,68,2.0 - 4.0
Malaysia,MYS,AP,4.9,33,3.6 - 5.7
Mauritius,MUS,SSA,4.5,40,3.5 - 5.5
Mexico,MEX,AME,3.6,57,2.5 - 4.9
Moldova,MDA,ECA,2.1,93,1.7 - 3.0
Morocco,MAR,MENA,3.7,52,1.7 - 5.5
Namibia,NAM,SSA,5.7,28,3.6 - 8.9
Netherlands,NLD,WE/EU,9,7,8.5 - 9.3
New Zealand,NZL,AP,9.5,2,8.9 - 9.6
Nicaragua,NIC,AME,2.5,81,1.7 - 3.4
Nigeria,NGA,SSA,1.6,101,0.9 - 2.5
Norway,NOR,WE/EU,8.5,12,6.9 - 9.3
Pakistan,PAK,AP,2.6,77,1.7 - 4.0
Panama,PAN,AME,3,67,1.7 - 3.6
Paraguay,PRY,AME,1.7,98,1.5 - 2.0
Peru,PER,AME,4,45,3.2 - 5.0
Philippines,PHL,AP,2.6,77,1.7 - 3.6
Poland,POL,WE/EU,4,45,2.6 - 5.5
Portugal,PRT,WE/EU,6.3,25,5.5 - 8.0
Romania,ROU,WE/EU,2.6,77,1.7 - 3.6
Russia,RUS,ECA,2.7,71,1.5 - 5.0
Senegal,SEN,SSA,3.1,66,1.7 - 5.5
Singapore,SGP,AP,9.3,5,8.9 - 9.6
Slovak Republic,SVK,WE/EU,3.7,52,3.0 - 4.6
Slovenia,SVN,WE/EU,6,27,4.7 - 8.9
South Africa,ZAF,SSA,4.8,36,3.9 - 5.5
South Korea,KOR,AP,4.5,40,2.1 - 7.1
Spain,ESP,WE/EU,7.1,20,5.2 - 8.9
Sri Lanka,LKA,AP,3.7,52,3.3 - 4.3
Sweden,SWE,WE/EU,9.3,5,8.9 - 9.6
Switzerland,CHE,WE/EU,8.5,12,6.8 - 9.4
Taiwan,TWN,AP,5.6,29,3.9 - 6.6
Tanzania,TZA,SSA,2.7,71,2.0 - 3.4
Thailand,THA,AP,3.2,64,1.5 - 4.1
Trinidad & Tobago,TTO,AME,4.9,33,3.6 - 6.9
Tunisia,TUN,MENA,4.8,36,3.6 - 5.6
Turkey,TUR,ECA,3.2,64,1.9 - 4.6
Uganda,UGA,SSA,2.1,93,1.9 - 2.6
Ukraine,UKR,ECA,2.4,85,1.7 - 3.8
United Kingdom,GBR,WE/EU,8.7,10,7.8 - 9.4
Uruguay,URY,AME,5.1,32,4.2 - 6.1
USA,USA,AME,7.7,16,5.5 - 8.7
Uzbekistan,UZB,ECA,2.9,68,2.0 - 4.1
Venezuela,VEN,AME,2.5,81,1.5 - 3.2
Vietnam,VNM,AP,2.4,85,1.5 - 3.6
Zambia,ZMB,SSA,2.6,77,2.0 - 3.2
Zimbabwe,ZWE,SSA,2.7,71,2.0 - 3.3
