country,iso,region,score,rank,range
Iceland,ISL,WE/EU,9.7,1,9.5 - 9.7
Finland,FIN,WE/EU,9.6,2,9.5 - 9.7
New Zealand,NZL,AP,9.6,2,9.5 - 9.7
Denmark,DNK,WE/EU,9.5,4,9.3 - 9.6
Singapore,SGP,AP,9.4,5,9.3 - 9.5
Sweden,SWE,WE/EU,9.2,6,9.0 - 9.3
Switzerland,CHE,WE/EU,9.1,7,8.9 - 9.2
Norway,NOR,WE/EU,8.9,8,8.5 - 9.1
Australia,AUS,AP,8.8,9,8.4 - 9.1
Austria,AUT,WE/EU,8.7,10,8.4 - 9.0
Netherlands,NLD,WE/EU,8.6,11,8.3 - 8.9
United Kingdom,GBR,WE/EU,8.6,11,8.3 - 8.8
Luxembourg,LUX,WE/EU,8.5,13,8.1 - 8.9
Canada,CAN,AME,8.4,14,7.9 - 8.8
Hong Kong,HKG,AP,8.3,15,7.7 - 8.7
Germany,DEU,WE/EU,8.2,16,7.9 - 8.5
USA,USA,AME,7.6,17,7.0 - 8.0
France,FRA,WE/EU,7.5,18,7.0 - 7.8
Belgium,BEL,WE/EU,7.4,19,6.9 - 7.9
Ireland,IRL,WE/EU,7.4,19,6.9 - 7.9
Chile,CHL,AME,7.3,21,6.8 - 7.7
Japan,JPN,AP,7.3,21,6.7 - 7.8
Spain,ESP,WE/EU,7,23,6.6 - 7.4
Barbados,BRB,AME,6.9,24,5.7 - 7.3
Malta,MLT,WE/EU,6.6,25,5.4 - 7.7
Portugal,PRT,WE/EU,6.5,26,5.9 - 7.1
Estonia,EST,WE/EU,6.4,27,6.0 - 7.0
Israel,ISR,MENA,6.3,28,5.7 - 6.9
Oman,OMN,MENA,6.3,28,5.2 - 7.3
United Arab Emirates,ARE,MENA,6.2,30,5.3 - 7.1
Slovenia,SVN,WE/EU,6.1,31,5.7 - 6.8
Botswana,BWA,SSA,5.9,32,5.1 - 6.7
Qatar,QAT,MENA,5.9,32,5.6 - 6.4
Taiwan,TWN,AP,5.9,32,5.4 - 6.3
Uruguay,URY,AME,5.9,32,5.6 - 6.4
Bahrain,BHR,MENA,5.8,36,5.3 - 6.3
Cyprus,CYP,WE/EU,5.7,37,5.3 - 6.0
Jordan,JOR,MENA,5.7,37,5.1 - 6.1
Malaysia,MYS,AP,5.1,39,4.6 - 5.6
Hungary,HUN,WE/EU,5,40,4.7 - 5.2
Italy,ITA,WE/EU,5,40,4.6 - 5.4
South Korea,KOR,AP,5,40,4.6 - 5.3
Tunisia,TUN,MENA,4.9,43,4.4 - 5.6
Lithuania,LTU,WE/EU,4.8,44,4.5 - 5.1
Kuwait,KWT,MENA,4.7,45,4.0 - 5.2
South Africa,ZAF,SSA,4.5,46,4.2 - 4.8
Czech Republic,CZE,WE/EU,4.3,47,3.7 - 5.1
Greece,GRC,WE/EU,4.3,47,3.9 - 4.7
Namibia,NAM,SSA,4.3,47,3.8 - 4.9
Slovakia,SVK,WE/EU,4.3,47,3.8 - 4.8
Costa Rica,CRI,AME,4.2,51,3.7 - 4.7
El Salvador,SLV,AME,4.2,51,3.5 - 4.8
Latvia,LVA,WE/EU,4.2,51,3.8 - 4.6
Mauritius,MUS,SSA,4.2,51,3.4 - 5.0
Bulgaria,BGR,WE/EU,4,55,3.4 - 4.6
Colombia,COL,AME,4,55,3.6 - 4.4
Fiji,FJI,AP,4,55,3.4 - 4.6
Seychelles,SYC,SSA,4,55,3.5 - 4.2
Cuba,CUB,AME,3.8,59,2.3 - 4.7
Thailand,THA,AP,3.8,59,3.5 - 4.1
Trinidad and Tobago,TTO,AME,3.8,59,3.3 - 4.5
