country,iso,region,score,rank,interval
Afghanistan,AFG,AP,1.5,176,1.1 - 1.6
Albania,ALB,ECA,3.4,85,3.3 - 3.4
Algeria,DZA,MENA,3.2,92,2.9 - 3.4
Angola,AGO,SSA,1.9,158,1.5 - 2.2
Argentina,ARG,AME,2.9,109,2.5 - 3.3
Armenia,ARM,ECA,2.9,109,2.6 - 3.1
Australia,AUS,AP,8.7,9,8.2 - 9.1
Austria,AUT,WE/EU,8.1,12,7.6 - 8.6
Azerbaijan,AZE,ECA,1.9,158,1.7 - 2.1
Bahrain,BHR,MENA,5.4,43,4.3 - 5.9
Bangladesh,BGD,AP,2.1,147,1.7 - 2.4
Barbados,BRB,AME,7,22,6.5 - 7.3
Belarus,BLR,ECA,2,151,1.6 - 2.5
Belgium,BEL,WE/EU,7.3,18,7.2 - 7.4
Belize,BLZ,AME,2.9,109,1.9 - 3.7
Benin,BEN,SSA,3.1,96,2.8 - 3.4
Bhutan,BTN,AP,5.2,45,4.5 - 5.9
Bolivia,BOL,AME,3,102,2.8 - 3.2
Bosnia and Herzegovina,BIH,ECA,3.2,92,2.9 - 3.5
Botswana,BWA,SSA,5.8,36,5.2 - 6.4
Brazil,BRA,AME,3.5,80,3.2 - 4.0
Bulgaria,BGR,WE/EU,3.6,72,3.0 - 4.3
Burkina Faso,BFA,SSA,3.5,80,2.9 - 4.2
Burundi,BDI,SSA,1.9,158,1.5 - 2.3
Cabo Verde,CPV,SSA,5.1,47,3.4 - 5.6
Cambodia,KHM,AP,1.8,166,1.7 - 1.9
Cameroon,CMR,SSA,2.3,141,2.0 - 2.7
Canada,CAN,AME,8.7,9,8.4 - 9.1
Central African Republic,CAF,SSA,2,151,1.9 - 2.2
Chad,TCD,SSA,1.6,173,1.5 - 1.7
Chile,CHL,AME,6.9,23,6.5 - 7.2
China,CHN,AP,3.6,72,3.1 - 4.3
Colombia,COL,AME,3.8,70,3.3 - 4.5
Comoros,COM,SSA,2.5,134,1.9 - 3.0
Congo,COG,SSA,1.9,158,1.8 - 2.0
Costa Rica,CRI,AME,5.1,47,4.8 - 5.3
Cote d'Ivoire,CIV,SSA,2,151,1.7 - 2.5
Croatia,HRV,WE/EU,4.4,62,4.0 - 4.8
Cuba,CUB,AME,4.3,65,3.6 - 4.8
Cyprus,CYP,WE/EU,6.4,31,5.9 - 6.8
