Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21800041,11.29300022,11.44200039,11.47000027,11.47700024,11.4989996,11.47999954,11.47200012,11.54699993,11.5170002,11.51299953,11.59599972,11.60400009,11.52799988,11.4289999,11.22399998,11.04599953,10.98499966,11.38700008,11.48400021,11.48799992,11.50800037,11.5340004,11.44799995,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003,11.16399956
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.707999945,3.74000001,3.803999901,3.815999985,3.819000006,3.828999996,3.821000099,3.818000078,3.849999905,3.836999893,3.835000038,3.871000051,3.875,3.842000008,3.799999952,3.711999893,3.637000084,3.611999989,3.782000065,9.430000305,7.361999989,7.379000187,7.400000095,7.330999851,7.282000065,7.22300005,7.118999958,7.019000053,6.886000156,6.774000168
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19000053,16.2859993,16.47800064,16.51199913,16.52199936,16.54999924,16.52499962,16.51600075,16.61100006,16.57299995,16.56699944,16.67300034,16.68400002,16.58600044,16.45999908,16.19599915,15.9659996,13.06000042,13.67399979,14.08600044,13.48099995,13.3760004,15.86600018,17.48999977,17.07999992,15.22000027,13.75,12.34000015,12.33100033,12.81299973
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44887308,11.95084216,12.75783545,12.89182088,13.1748943,12.33886798,11.82732323,11.86032948,11.99281925,12.424107,12.28974166,12.30287331,12.263542,11.25088726,11.06991893,10.25218581,9.788912201,9.452785994,9.15279419,9.24813497,10.28468905,10.49077252,10.57413105,10.65462675,10.67531969,10.45094491,10.64131316,10.56334426,10.33694622,10.19147219
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580000043,1.63499999,1.917999983,1.820000052,1.799999952,2,2.032000065,2.092999935,2.243000031,2.25,2.411000013,2.714999914,2.987999916,3.176000118,3.119999886,2.703000069,2.08100009,1.95599997,2.33100009,2.532999992,2.496000051,2.509000063,2.575999975,2.211999893,1.909999967,1.636000037,2.463000059,2.229000092,2.34800005,2.447000027
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52200031,11.50599957,10.07699966,8.470000267,7.836999893,8.645000458,7.714000225,7.179999828,7.217000008,7.099999905,7.268000126,7.75,7.977000237,8.347000122,9.220000267,9.788999557,10.43599987
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.0539999,10.93299961,10.8920002,10.78299999,10.59799957,10.39299965,10.09000015,9.812000275,13.47500038,18.43600082,19.00799942,18.44300079,17.3010006,16.17900085,17.49799919,18.26099968,17.61700058,17.70499992,17.49600029,16.98999977,16.625
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.579000473,10.72900009,10.8739996,9.718999863,8.468999863,8.505999565,8.362000465,7.676000118,6.872000217,6.282999992,6.742000103,6.368000031,5.928999901,5.394999981,5.032000065,4.782000065,4.376999855,4.234000206,5.56099987,5.210999966,5.080999851,5.223999977,5.662000179,6.077000141,6.053999901,5.710000038,5.59100008,5.297999859,5.268000126,5.328000069
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.420000076,3.589999914,4.25,3.535000086,4.347000122,5.281000137,5.149000168,5.522999763,4.697999954,4.686999798,4.006999969,4.848999977,4.778999805,5.834000111,5.627999783,5.243000031,4.857999802,4.127999783,5.301000118,4.820000172,4.56400013,4.864999771,5.335000038,5.619999886,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786,4.778999805
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.80000019,10.89999962,10,9.25,8,7.300000191,6.619999886,6.539999962,6.050000191,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,5.508999825,5.960000038
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.743999958,1.777999997,1.847000003,1.858999968,1.860999942,1.871000051,1.860999942,1.856999993,1.89199996,1.876000047,1.873000026,1.911999941,1.914999962,1.878000021,1.832000017,1.738000035,1.659000039,1.633999944,1.764000058,1.75999999,1.715000033,1.677999973,1.644000053,1.572000027,1.552000046,1.527999997,1.486999989,1.447999954,1.427000046,1.407999992
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.986000061,6.702000141,8.076999664,9.647000313,9.338999748,9.482999802,8.956000328,9.322999954,8.649000168,6.585999966,6.177000046,6.90899992,7.679999828,7.362999916,8.43999958,8.24600029,7.458000183,6.975999832,7.907999992,8.291999817,7.139999866,7.541999817,8.425000191,8.522999763,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225,5.691999912
