,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,11.5170002,11.51299953,11.59599972,11.60400009,11.52799988,11.4289999,11.22399998,11.04599953,10.98499966,11.38700008,11.48400021,11.48799992,11.50800037,11.5340004,11.44799995,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003
1,Angola,3.836999893,3.835000038,3.871000051,3.875,3.8420000080000003,3.799999952,3.711999893,3.637000084,3.6119999889999996,3.782000065,9.430000305,7.361999989,7.379000187000001,7.400000095,7.3309998510000005,7.282000065,7.22300005,7.118999958,7.019000052999999,6.886000156000001
2,Albania,16.57299995,16.56699944,16.67300034,16.68400002,16.58600044,16.45999908,16.19599915,15.965999599999998,13.06000042,13.67399979,14.08600044,13.48099995,13.376000400000002,15.86600018,17.48999977,17.07999992,15.22000027,13.75,12.34000015,12.33100033
3,Argentina,15.0,17.31999969,19.59000015,15.35999966,13.52200031,11.50599957,10.07699966,8.470000267,7.836999893,8.645000458,7.714000225,7.179999828,7.217000007999999,7.099999905,7.2680001260000004,7.75,7.977000237,8.347000122,9.220000267,9.788999557
4,Armenia,11.0539999,10.93299961,10.8920002,10.78299999,10.59799957,10.39299965,10.09000015,9.812000275,13.47500038,18.43600082,19.00799942,18.44300079,17.301000600000002,16.17900085,17.49799919,18.26099968,17.61700058,17.70499992,17.49600029,16.98999977
5,Austria,4.686999798,4.006999969,4.848999977,4.778999805,5.834000111,5.627999783,5.243000031,4.857999802,4.127999783,5.301000118,4.820000172,4.56400013,4.864999771,5.335000038,5.6199998860000004,5.72300005,6.013999939,5.499000072,4.84800005,4.673999786
6,Azerbaijan,11.80000019,10.89999962,10.0,9.25,8.0,7.3000001910000005,6.6199998860000004,6.5399999620000004,6.0500001910000005,5.739999771,5.6300001139999996,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5.0,5.0,4.900000095,5.508999825
7,Burundi,1.8760000469999998,1.873000026,1.911999941,1.9149999619999998,1.8780000209999999,1.832000017,1.738000035,1.6590000390000001,1.6339999440000001,1.7640000580000001,1.75999999,1.7150000330000001,1.6779999730000001,1.644000053,1.5720000269999999,1.5520000459999999,1.5279999969999998,1.486999989,1.4479999540000001,1.4270000459999999
8,Belgium,6.585999966,6.177000046,6.90899992,7.679999828,7.362999916000001,8.43999958,8.24600029,7.458000182999999,6.975999832,7.907999992000001,8.291999817,7.139999866,7.541999817000001,8.425000191,8.522999763,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225
9,Benin,0.829999983,0.750999987,0.689999998,0.734000027,0.764999986,0.7910000090000001,0.796000004,0.80400002,0.8339999909999999,0.967000008,1.039999962,2.6459999080000003,2.660000086,2.677000046,2.6210000509999998,2.582000017,2.536999941,2.459000111,2.385999918,2.2320001130000002
10,Burkina Faso,2.569999933,2.625999928,2.7170000080000003,2.779999971,3.372999907,4.0,3.63499999,3.299999952,3.605999947,4.243999958,4.717000008,5.1430001260000004,5.600999832,6.086999893,6.479000092000001,6.418000221000001,6.343999863,6.21600008,6.093999863,6.263999939
11,Bangladesh,3.2699999810000002,3.585999966,3.963999987,4.320000172,4.293000221000001,4.25,3.59100008,3.8880000110000004,4.267000198,5.0,3.378999949,3.7049999239999996,4.054999828,4.426000118,4.394999981000001,4.377999783,4.349999905,4.372000217,4.2810001369999995,4.190000057
12,Bulgaria,16.21800041,19.92099953,18.10899925,13.732999800000002,12.036999699999999,10.08300018,8.951000214,6.877999783,5.609000206,6.816999912000001,10.27900028,11.26000023,12.27000046,12.94099998,11.42399979,9.142999649,7.5749998089999995,6.164000034,5.210999966,4.340000153
